Model,MSO4032,,,,
Firmware Version,2.68,,,,
,,,,,
Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,4,,,Horizontal Scale,4.00E-08
Horizontal Delay,0,,,Horizontal Delay,0
Sample Interval,0.004,,,Sample Interval,4.00E-10
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,1,,,Probe Attenuation,1
Vertical Units,V,,,Vertical Units,V
Vertical Offset,0,,,Vertical Offset,0
Vertical Scale,0.02,,,Vertical Scale,0.02
Vertical Position,0,,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,REF1
-1.87E+01,-0.0032,0.0172,,-1.87E-06,0.008
-1.87E+01,0.0008,0.0188,,-1.87E-06,0.0064
-1.87E+01,-0.0016,-0.0004,,-1.87E-06,0.0064
-1.87E+01,-0.0016,0.006,,-1.87E-06,0.0048
-1.87E+01,-0.0016,0.018,,-1.87E-06,0.0048
-1.87E+01,-0.0024,-0.0028,,-1.87E-06,0.0064
-1.87E+01,-0.0024,-0.0036,,-1.87E-06,0.0056
-1.87E+01,-0.0016,0.0188,,-1.87E-06,0.0064
-1.87E+01,-0.004,-0.0036,,-1.87E-06,0.0064
-1.87E+01,-0.0024,-0.0028,,-1.87E-06,0.0064
-1.87E+01,-0.0008,0.0188,,-1.87E-06,0.0064
-1.86E+01,-0.0032,-0.002,,-1.86E-06,0.0064
-1.86E+01,-0.0032,-0.0044,,-1.86E-06,0.0064
-1.86E+01,-0.0024,0.0188,,-1.86E-06,0.0064
-1.86E+01,-0.0032,-0.002,,-1.86E-06,0.0056
-1.86E+01,-0.0032,0.0012,,-1.86E-06,0.0056
-1.86E+01,-0.0008,0.0188,,-1.86E-06,0.0056
-1.86E+01,-0.0024,-0.002,,-1.86E-06,0.0056
-1.86E+01,-0.0024,-0.0036,,-1.86E-06,0.0056
-1.86E+01,-0.0016,0.0188,,-1.86E-06,0.008
-1.86E+01,-0.0024,0.0116,,-1.86E-06,0.008
-1.86E+01,-0.0024,-0.0044,,-1.86E-06,0.008
